RegionCode,Region,Year,All deaths by area of usual residence,Male deaths by area of usual residence,Female deaths by area of usual residence
E10000030,Surrey,2008,9464,4215,5249
E07000207,Elmbridge,2008,1110,473,637
E07000208,Epsom and Ewell,2008,531,229,302
E07000209,Guildford,2008,995,468,527
E07000210,Mole Valley,2008,808,364,444
E07000211,Reigate and Banstead,2008,1273,523,750
E07000212,Runnymede,2008,694,287,407
E07000213,Spelthorne,2008,772,364,408
E07000214,Surrey Heath,2008,659,308,351
E07000215,Tandridge,2008,779,339,440
E07000216,Waverley,2008,1099,514,585
E07000217,Woking,2008,744,346,398
E92000001,England,2009,459241,222379,236862
E12000008,South East,2009,73976,35238,38738
E10000030,Surrey,2009,9137,4268,4869
E07000207,Elmbridge,2009,1017,452,565
E07000208,Epsom and Ewell,2009,529,257,272
E07000209,Guildford,2009,965,446,519
E07000210,Mole Valley,2009,844,396,448
E07000211,Reigate and Banstead,2009,1192,544,648
E07000212,Runnymede,2009,653,309,344
E07000213,Spelthorne,2009,784,396,388
E07000214,Surrey Heath,2009,590,277,313
E07000215,Tandridge,2009,751,352,399
E07000216,Waverley,2009,1112,502,610
E07000217,Woking,2009,700,337,363
E92000001,England,2010,461017,222366,238651
E12000008,South East,2010,75157,35497,39660
E10000030,Surrey,2010,9550,4434,5116
E07000207,Elmbridge,2010,1083,466,617
E07000208,Epsom and Ewell,2010,571,283,288
E07000209,Guildford,2010,983,450,533
E07000210,Mole Valley,2010,825,382,443
E07000211,Reigate and Banstead,2010,1257,575,682
E07000212,Runnymede,2010,646,313,333
E07000213,Spelthorne,2010,852,396,456
E07000214,Surrey Heath,2010,674,323,351
E07000215,Tandridge,2010,753,332,421
E07000216,Waverley,2010,1158,533,625
E07000217,Woking,2010,748,381,367
E92000001,England,2011,452862,219068,233794
E12000008,South East,2011,74135,35196,38939
E10000030,Surrey,2011,9419,4408,5011
E07000207,Elmbridge,2011,1055,499,556
E07000208,Epsom and Ewell,2011,572,261,311
E07000209,Guildford,2011,964,469,495
E07000210,Mole Valley,2011,805,395,410
E07000211,Reigate and Banstead,2011,1237,539,698
E07000212,Runnymede,2011,672,324,348
E07000213,Spelthorne,2011,867,435,432
E07000214,Surrey Heath,2011,692,317,375
E07000215,Tandridge,2011,767,361,406
E07000216,Waverley,2011,1050,473,577
E07000217,Woking,2011,738,335,403
E92000001,England,2012,466779,224460,242319
E12000008,South East,2012,76579,36103,40476
E10000030,Surrey,2012,9658,4452,5206
E07000207,Elmbridge,2012,1097,520,577
E07000208,Epsom and Ewell,2012,579,278,301
E07000209,Guildford,2012,988,468,520
E07000210,Mole Valley,2012,822,389,433
E07000211,Reigate and Banstead,2012,1200,522,678
E07000212,Runnymede,2012,683,310,373
E07000213,Spelthorne,2012,866,406,460
E07000214,Surrey Heath,2012,726,324,402
E07000215,Tandridge,2012,844,390,454
E07000216,Waverley,2012,1071,486,585
E07000217,Woking,2012,782,359,423
E92000001,England,2013,473552,229291,244261
E12000008,South East,2013,77778,37213,40565
E10000030,Surrey,2013,9843,4515,5328
E07000207,Elmbridge,2013,1107,515,592
E07000208,Epsom and Ewell,2013,583,289,294
E07000209,Guildford,2013,1088,483,605
E07000210,Mole Valley,2013,812,361,451
E07000211,Reigate and Banstead,2013,1267,596,671
E07000212,Runnymede,2013,710,328,382
E07000213,Spelthorne,2013,867,423,444
E07000214,Surrey Heath,2013,723,325,398
E07000215,Tandridge,2013,836,376,460
E07000216,Waverley,2013,1115,492,623
E07000217,Woking,2013,735,327,408
E92000001,England,2014,468875,229116,239759
E12000008,South East,2014,76971,37109,39862
E10000030,Surrey,2014,9762,4580,5182
E07000207,Elmbridge,2014,1037,468,569
E07000208,Epsom and Ewell,2014,599,300,299
E07000209,Guildford,2014,1005,467,538
E07000210,Mole Valley,2014,857,409,448
E07000211,Reigate and Banstead,2014,1342,619,723
E07000212,Runnymede,2014,616,299,317
E07000213,Spelthorne,2014,863,421,442
E07000214,Surrey Heath,2014,736,341,395
E07000215,Tandridge,2014,806,365,441
E07000216,Waverley,2014,1147,537,610
E07000217,Woking,2014,754,354,400
E92000001,England,2015,495309,240417,254892
E12000008,South East,2015,81049,38805,42244
E10000030,Surrey,2015,10417,4935,5482
E07000207,Elmbridge,2015,1097,489,608
E07000208,Epsom and Ewell,2015,617,311,306
E07000209,Guildford,2015,1089,512,577
E07000210,Mole Valley,2015,883,423,460
E07000211,Reigate and Banstead,2015,1455,666,789
E07000212,Runnymede,2015,750,359,391
E07000213,Spelthorne,2015,941,477,464
E07000214,Surrey Heath,2015,766,364,402
E07000215,Tandridge,2015,790,368,422
E07000216,Waverley,2015,1262,607,655
E07000217,Woking,2015,767,359,408
E92000001,England,2016,490791,240721,250070
E12000008,South East,2016,80429,38818,41611
E10000030,Surrey,2016,10234,4913,5321
E07000207,Elmbridge,2016,1078,533,545
E07000208,Epsom and Ewell,2016,619,305,314
E07000209,Guildford,2016,1101,523,578
E07000210,Mole Valley,2016,881,457,424
E07000211,Reigate and Banstead,2016,1323,626,697
E07000212,Runnymede,2016,736,357,379
E07000213,Spelthorne,2016,868,405,463
E07000214,Surrey Heath,2016,768,355,413
E07000215,Tandridge,2016,819,400,419
E07000216,Waverley,2016,1189,566,623
E07000217,Woking,2016,852,386,466
E92000001,England,2017,498882,245464,253418
E12000008,South East,2017,81915,39881,42034
E10000030,Surrey,2017,10165,4910,5255
E07000207,Elmbridge,2017,1103,513,590
E07000208,Epsom and Ewell,2017,571,285,286
E07000209,Guildford,2017,1090,531,559
E07000210,Mole Valley,2017,841,426,415
E07000211,Reigate and Banstead,2017,1393,657,736
E07000212,Runnymede,2017,757,375,382
E07000213,Spelthorne,2017,860,429,431
E07000214,Surrey Heath,2017,782,361,421
E07000215,Tandridge,2017,849,401,448
E07000216,Waverley,2017,1164,549,615
E07000217,Woking,2017,755,383,372
E92000001,England,2018,505859,250012,255847
E12000008,South East,2018,82623,40210,42413
E10000030,Surrey,2018,9979,4741,5238
E07000207,Elmbridge,2018,1142,523,619
E07000208,Epsom and Ewell,2018,579,294,285
E07000209,Guildford,2018,1043,506,537
E07000210,Mole Valley,2018,805,398,407
E07000211,Reigate and Banstead,2018,1286,595,691
E07000212,Runnymede,2018,720,352,368
E07000213,Spelthorne,2018,891,427,464
E07000214,Surrey Heath,2018,768,360,408
E07000215,Tandridge,2018,806,389,417
E07000216,Waverley,2018,1206,535,671
E07000217,Woking,2018,733,362,371
